"Id";"代号";"封装";"数量";"名称";"供应商和REF";
1;"R4,R3,R2";"R_0402_1005Metric";3;"1K";;;
2;"D5,D4,D3,D2,D1";"LED_0603_1608Metric";5;"LED";;;
3;"U4";"SOT-223";1;"AMS1117-LDO";;;
4;"JP1";"SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"SolderJumper_3_Open";;;
5;"U1";"UJ31-Ch-3-SMT-TR";1;"UJ31-CH-3-SMT-TR";;;
6;"U5";"QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm";1;"CP2104";;;
7;"U3,U2";"SOT-23-6";2;"SRV05-4";;;
8;"RN1";"R_Array_Convex_4x0402";1;"1K";;;
9;"R1";"R_0402_1005Metric";1;"4.7K";;;
10;"Q2,Q1";"SOT-23";2;"S8050";;;
11;"J1";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
12;"F1";"Fuse_0805_2012Metric";1;"PPTC";;;
13;"C8,C6";"C_0402_1005Metric";2;"1uF";;;
14;"C7";"C_0402_1005Metric";1;"0.1uF";;;
15;"C5";"C_0402_1005Metric";1;"4.7uF";;;
16;"C4,C2";"C_0603_1608Metric";2;"1uF";;;
17;"C3,C1";"C_0603_1608Metric";2;"10uF";;;
