Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
C1,C_0603_1608Metric,-8.3000mm,14.1000mm,,,,,B,180.0000,10uF
C2,C_0603_1608Metric,-8.3000mm,16.3000mm,,,,,B,180.0000,1uF
C3,C_0603_1608Metric,-8.4000mm,25.1000mm,,,,,B,180.0000,10uF
C4,C_0603_1608Metric,-8.4000mm,27.2000mm,,,,,B,180.0000,1uF
RN1,R_Array_Convex_4x0402,-5.5000mm,26.2000mm,,,,,B,0.0000,1K
U4,SOT-223,-5.5000mm,20.7000mm,,,,,B,180.0000,AMS1117-3.3
C5,C_0402_1005Metric,9.0000mm,17.0000mm,,,,,T,90.0000,4.7uF
C6,C_0402_1005Metric,5.7000mm,12.9000mm,,,,,T,180.0000,1uF
C7,C_0402_1005Metric,2.6000mm,12.9000mm,,,,,T,0.0000,0.1uF
C8,C_0402_1005Metric,2.1000mm,14.6000mm,,,,,T,90.0000,1uF
D1,LED_0603_1608Metric,8.1000mm,26.1000mm,,,,,T,270.0000,LED
D2,LED_0603_1608Metric,9.7000mm,26.1000mm,,,,,T,270.0000,LED
D3,LED_0603_1608Metric,1.2000mm,26.1000mm,,,,,T,270.0000,LED
D4,LED_0603_1608Metric,2.8000mm,26.1000mm,,,,,T,270.0000,LED
D5,LED_0603_1608Metric,8.4000mm,10.1000mm,,,,,T,90.0000,LED
F1,Fuse_0805_2012Metric,2.4000mm,10.0000mm,,,,,T,270.0000,PPTC
J2,HRO_TYPE-C-31-M-12,5.4610mm,2.6784mm,,,,,T,0.0000,HRO_TYPE-C-31-M-12
Q1,SOT-23,3.4000mm,22.2000mm,,,,,T,270.0000,S8050
Q2,SOT-23,7.7000mm,22.2000mm,,,,,T,270.0000,S8050
R1,R_0402_1005Metric,8.5000mm,12.9000mm,,,,,T,0.0000,10K
R2,R_0402_1005Metric,2.6000mm,19.6000mm,,,,,T,180.0000,1K
R3,R_0402_1005Metric,8.5000mm,19.7000mm,,,,,T,0.0000,1K
R4,R_0402_1005Metric,9.0000mm,14.6000mm,,,,,T,90.0000,1K
U2,SOT-23-6,5.5000mm,10.0000mm,,,,,T,0.0000,SRV05-4-P-T7
U3,SOT-23-6,5.5000mm,26.1000mm,,,,,T,90.0000,SRV05-4-P-T7
U5,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,5.5450mm,16.2750mm,,,,,T,0.0000,CP2104
